"","CODE","Numero","Nom","Prénom","Date.de.naissance","Classe","Note"
"1","AAD003","2014079LH","CISSE","Baba","16/08/99","6ieme A","Math[11|13:06] #Francais[08|17:12] #Anglais[13|13:12] #PC[09|18:07] #SVT[15|10:10] #HG[14|19:17]"
"2","AAD003","2016023LD","NDIAYE","mbaye","12/09/00","5ieme A","Math[05|13:05] #Francais[11|17:15] #Anglais[19|14:15] #PC[13|11:07] #SVT[12|09:12] #HG[16|15:17]"
"3","AAD003","286325HG","GAYE","Awa","13/04/12","3iemeA","Math[04|13:05] #Francais[15|06:11] #Anglais[15|13:13] #PC[14|13:07] #SVT[12|19:10] #HG[18|15:17]"
"4","AAD003","201817JK","NDAO","Ndiaga","12/04/00","6iemeB","Math[04|13:05] #Francais[15|16:14] #Anglais[15|16:11] #PC[04|03:07] #SVT[12|09:11] #HG[16|15:10]"
"5","AAD003","65281LKJ","DEME","Saliou","19/03/05","5iemeB","Math[20|19.5:05] #Francais[13|16:14] #Anglais[17|19:17] #PC[14|13:17] #SVT[12|19:10] #HG[16|19:17]"
"6","AAD003","2007095KH","Ngadeu","Dinka","03/12/01","3iemeB","Math[12|13:15] #Francais[05|18:12] #Anglais[12|14:18] #PC[24|13:07] #SVT[17|09:12] #HG[16|15:17]"
"7","AAD003","201607RK","BA","Mouhamed","19/06/96","4iemeC","Math[04|03:05] #Francais[15|16:14] #Anglais[15|16:14] #PC[04|03:07] #SVT[12|09:15] #HG[16|15:13]"
"8","AAD003","2014067K","GUEYE","Mansour","34-13-1992","4iemeC","Math[14|12:15] #Francais[18|06:14] #Anglais[15|12:12] #PC[18|13:07] #SVT[11|19:12] #HG[13|15:12]"
"9","AAD003","20133HGF","DANSOKHO","Siriman","13/04/10","6iemeC","Math[04|03:05] #Francais[15|15:14] #Anglais[15|06:15] #PC[14|06:07] #SVT[18|09:15] #HG[11|15:12]"
"10","AAD003","2017ZEA5L","TOURE","Sokhna","23/04/14","3iemeC","Math[14|13:05] #Francais[18|16:14] #Anglais[15|06:17] #PC[14|13:07] #SVT[18|12:16] #HG[13|15:13]"
"11","AAD004","","","","","",""
"12","AAD004","","","","","",""
"13","AAD004","","","","","",""
"14","AAD004","","","","","",""
"15","AAD004","JD7LO99","SOW","Mariama","12/18/2017","4eme B","Math[04|03:05] #Francais[15|16:14] #Anglais[15|16:17] #PC[04|03:07] #SVT[12|09:10] #HG[16|15:17]"
"17","AAD004","","","","","",""
"18","AAD004","","","","","",""
"19","AAD004","","","","","",""
"20","AAD004","","","","","",""
"41","AAD22","LSNP5Of","Sow","Mari","28/12/01","6eme A","Math[10|11:15] #Francais[7|12|8:13] #Anglais[13,5|9:15] #PC[11:9]  #SVT[12|9|16|11:12]  #HG[10:13]"
"44","AAD22","UHT9KD8","Seye","Malick","07/10/07","5eme C","Math[10|14,5|11|03:16] #PC[11:19]  #Francais[4|11:13]  #SVT[12|9|16|11:12] #HG[19:13]  #Anglais[10,5:15]"
"45","AAD22","O6G7XCQ","Tamba","Lamine","09/01/06","3eme D","SVT[13|9|11:14] #HG[10:13]  #Math[12|14,5|11:13]  #Francais[8|11:13] #Anglais[13,5:15]  #PC[13|11:9]"
"47","AAD22","GFD3G8G","Ndour","Fatime","05/mars/2002","5eme D","Math[9|10,5|10|13:16] #PC[12:15]  #Francais[10|17:13]  #SVT[15|9|06|11:12] #HG[13:03]  #Anglais[13,12:05]"
"50","AAD22","GSQ3H84","Diouf","Wally","30/09/05","4eme c",""
"51","ABD009","345ERTH","Abdou","Wade","31/12/07","6eme D","Math[12|4:15] #Francais[10|17|18:10] #Anglais[10,9|9:15] #PC[0:11] #SVT[10|20|16|10:9] #HG[9:10]"
"54","ABD009","ERSTYDD","Akapla","Diop","03/05/78","5eme C","Math[10|14:15] #Francais[11|9|1:10] #Anglais[10,9|9:1] #PC[10:11] #SVT[10|2|6|10:9] #HG[17:0]"
"56","ABD009","23453RD","yéré","Niani","05/11/12","3eme D","Math[18|4:8] #Francais[10|9|18:12] #Anglais[10,9|9:3] #PC[10:11] #SVT[10|6|16|10:9] #HG[19:10]"
"57","ABD009","ERTDH6G","Gadiaga","Xouli","30/07/18","5eme 4","Math[1|4:15] #Francais[10|19|14:13] #Anglais[10,9|9:1] #PC[10:11] #SVT[10|20|16|10:9] #HG[9:18]"
